mx,my,SRGbb28001400,SRGbb23001000,SRGbb21001600,SRGbb20001800
1100,1,0.0239130434782608,0.0236024844720496,0.0138198757763975,0.0009316770186335
1100,200,0.0253791395852677,0.0255338904363974,0.0160940885174868,0.0018570102135561
1100,400,0.0150722854506305,0.0150722854506305,0.018455859735466,0.0023069824669332
1100,600,0.0043189881227826,0.0038562393953416,0.0092549745488199,0.0018509949097639
1100,800,0.0001537279016141,0.0001537279016141,0.0018447348193697,0.0024596464258262
1100,1000,0.0,0.0,0.0,0.0003087849312953
1100,1080,0.0,0.0,0.0,0.0
1200,1,0.0335236422192943,0.0319133362611623,0.0131752305665349,0.0010247401551749
1200,200,0.0291075650118203,0.0289598108747044,0.0181737588652482,0.0011820330969267
1200,400,0.0226674466218192,0.0233986545773618,0.0222287218484937,0.0029248318221702
1200,600,0.0115231201063672,0.0101935293248633,0.0203870586497266,0.0029546461811198
1200,800,0.0032267527134056,0.0027867409797594,0.0066001760046934,0.0036667644470519
1200,1000,0.0001472320376914,0.0001472320376914,0.000736160188457,0.0032391048292108
1200,1180,0.0,0.0,0.0,0.0
1300,1,0.0433137089991589,0.0403700588730025,0.0119147743201569,0.0008410428931875
1300,200,0.0426553672316384,0.0409604519774011,0.017231638418079,0.001412429378531
1300,400,0.0304561403508771,0.0300350877192982,0.0231578947368421,0.0022456140350877
1300,600,0.0173572228443449,0.0174972004479283,0.0278555431131019,0.0025195968645016
1300,800,0.0052393089776267,0.005947323704333,0.0143018974794675,0.0025488530161427
1300,1000,0.0004208163837845,0.0002805442558563,0.0016832655351381,0.0044887080937017
1300,1200,0.0,0.0,0.0,0.0
1300,1280,0.0001403508771929,0.0001403508771929,0.0,0.0
1400,1,0.0499663299663299,0.0468686868686868,0.0134680134680134,0.0009427609427609
1400,200,0.0553407120949459,0.0530737431657554,0.01706894252567,0.0021336178157087
1400,400,0.0430251202565473,0.0426242650988776,0.0243185462319615,0.001202565473009
1400,600,0.0266901503861265,0.0265546673892426,0.0268256333830104,0.0018967619563744
1400,800,0.0088388911209321,0.0093745814918976,0.022365072987813,0.0029462970403107
1400,1000,0.0021444846535316,0.0022785149443774,0.0058973327972121,0.0038868784345262
1400,1200,0.0,0.0,0.0002684563758389,0.0021476510067114
1400,1380,0.0,0.0,0.0,0.0
1500,1,0.0668909302626471,0.0627506792599301,0.0138439642903351,0.0007762970630094
1500,200,0.066008316008316,0.0631496881496881,0.0146829521829521,0.0009095634095634
1500,400,0.0566822672906916,0.0547321892875715,0.0214508580343213,0.0020800832033281
1500,600,0.038362180315164,0.0381038491345905,0.025058124515629,0.0020666494445879
1500,800,0.0182125666710029,0.0174320280993885,0.0271887602445687,0.0037726030961363
1500,1000,0.0036185060739209,0.0037477384337037,0.0149909537348151,0.0024554148358749
1500,1200,0.0009077940604331,0.0009077940604331,0.0016859032550901,0.003242121644404
1500,1400,0.0001297858533419,0.0001297858533419,0.0,0.0
1500,1480,0.0,0.0,0.0,0.0
1600,1,0.06821608040201,0.0641959798994974,0.0124371859296482,0.0012562814070351
1600,200,0.068068068068068,0.0639389389389389,0.0115115115115115,0.0012512512512512
1600,400,0.0680151706700379,0.0625790139064475,0.015929203539823,0.0015170670037926
1600,600,0.0519805073097588,0.0512307884543296,0.0236161439460202,0.0014994377108584
1600,800,0.0304931609988706,0.0314970510729075,0.0312460785543982,0.002258752666583
1600,1000,0.0096855345911949,0.0098113207547169,0.0267924528301886,0.0042767295597484
1600,1200,0.0026411772104137,0.0022638661803546,0.0074204502578292,0.0040246509872971
1600,1400,0.0,0.0,0.0001253918495297,0.0015047021943573
1600,1580,0.0,0.0,0.0,0.0
1700,1,0.0745288753799392,0.0695440729483282,0.0105775075987841,0.0003647416413373
1700,200,0.0720174587778855,0.0676527643064985,0.0133365664403491,0.0016973811833171
1700,400,0.0765299914831488,0.0726365737924321,0.0164253558827107,0.001095023725514
1700,600,0.0620563035495716,0.0591187270501835,0.0199510403916768,0.001468788249694
1700,800,0.040248810830589,0.039882912550311,0.0263446761800219,0.0015855592145383
1700,1000,0.0166808717886277,0.0180202118592475,0.032996469012541,0.0028004383294776
