mx,my,SRGtt21001,SRGtt18001,SRGtt23001200,SRGtt19001400
1100,1,0.0,0.010457651687720025,0.018844481259059846,0.005901843031683578
1100,200,0.0,0.006698959084819128,0.016592806348551994,0.008863238173760692
1100,400,0.0,0.003002692068751294,0.010147028370262995,0.010043487264443984
1100,600,0.0,0.0012268684183621306,0.002760453941314794,0.007361210510172784
1100,745,0.0,0.0,0.0003078185922429715,0.0019495177508721527
1200,1,0.0,0.01633092118130256,0.03275963230979855,0.007823195775474282
1200,200,0.0,0.01499852955592589,0.025977845309283404,0.008332516419958828
1200,400,0.0,0.008806262230919765,0.01780821917808219,0.008806262230919765
1200,600,0.0,0.002937720329024677,0.007833920877399139,0.011848805327066197
1200,800,0.0,0.0006817960455829356,0.0014609915262491478,0.003214181357748125
1200,845,0.0,0.00019214141608223654,0.0007685656643289462,0.0041310404457680855
1300,1,0.0,0.026456015705337944,0.041039543797326355,0.006263438347200149
1300,200,0.0,0.02326235812775537,0.038926929931526126,0.008817184129068567
1300,400,0.0,0.012597258243793997,0.025472397184142275,0.010281585772508336
1300,600,0.0,0.004093404037584892,0.011349893013303563,0.011256861103358452
1300,800,0.0,0.0009364172675344133,0.002528326622342916,0.006648562599494335
1300,945,0.0,0.0008364312267657993,0.0013940520446096654,0.002695167286245353
1400,1,0.0,0.0341818836016911,0.05127282540253666,0.0073760906719438695
1400,200,0.0,0.02792242772490573,0.05315137367570479,0.008798707128748428
1400,400,0.0,0.02126514131897712,0.04055630327501122,0.009510991475998206
1400,600,0.0,0.008964589870013447,0.0210667861945316,0.011922904527117884
1400,800,0.0,0.002879251394637394,0.006658268850098974,0.012866654669785855
1400,1000,0.0,0.00062983624257693,0.0011696958790714414,0.004678783516285766
1400,1045,0.0,0.000536097212294496,0.001072194424588992,0.0037526804860614723
1500,1,0.0,0.04472210254200776,0.05902628177509694,0.004480827229642395
1500,200,0.0,0.03876912378303199,0.0620653685674548,0.008344923504867872
1500,400,0.0,0.027380747373859135,0.05157568451868435,0.009385224728775616
1500,600,0.0,0.015074070865459586,0.03378671056051286,0.010742441306419475
1500,800,0.0,0.00549546406140963,0.012909979064898814,0.011688764829030007
1500,1000,0.0,0.0013955516790231139,0.0039249890972525075,0.009158307893589184
1500,1145,0.0,0.00034986442753433044,0.0009621271757194088,0.0028863815271582263
1600,1,0.0,0.05236990387802453,0.06761683791846204,0.005220417633410673
1600,200,0.0,0.05699698694342149,0.07457315031804486,0.007951121526615333
1600,400,0.0,0.03911300220931184,0.067179445217249,0.009410031912282138
1600,600,0.0,0.02149454240134341,0.05020990764063812,0.014021830394626364
1600,800,0.0,0.008884829361454787,0.023748235489495974,0.012538404052146476
1600,1000,0.0,0.003025100155342981,0.006704276019949309,0.013572070967214455
1600,1200,0.0,0.0005711954304365566,0.0016319869441044472,0.004406364749082008
1600,1245,0.0,0.00041918175720992624,0.0006706908115358819,0.0021797451374916165
1700,1,0.0,0.0672502658921705,0.07600425427472797,0.0061359731653440235
1700,200,0.0,0.063374552554507,0.07761145460462089,0.00585746827204686
1700,400,0.0,0.05366842318605594,0.07977300364815565,0.0071341710579651395
1700,600,0.0,0.0371665582303188,0.06782693558880937,0.01236174365647365
1700,800,0.0,0.015601369099737325,0.038366632173843826,0.013293003263551699
1700,1000,0.0,0.005778465044355823,0.014731016521526818,0.01717262146984618
1700,1200,0.0,0.0014223627024891347,0.0028447254049782694,0.008060055314105096
1700,1345,0.0,0.00040462895524803755,0.0009711094925952901,0.003641660597232338
1800,1,0.0,0.08023575638506876,0.08078585461689587,0.006051080550098232
1800,200,0.0,0.08035288507391512,0.08710856779526308,0.00619933237958989
1800,400,0.0,0.06782197715636078,0.08893265064986215,0.008270972823946435
1800,600,0.0,0.049198539914299316,0.08157435327725758,0.009681003015394382
1800,800,0.0,0.02629916284947086,0.05646817248459959,0.012557257937134733
1800,1000,0.0,0.010327830373210233,0.028166810108755182,0.017447774039590018
1800,1200,0.0,0.002140309155766944,0.0064209274673008325,0.015457788347205707
1800,1400,0.0,0.0005534909464695184,0.0009488416225191745,0.004665137977385941
1800,1445,0.0,0.0003912669222943892,0.0008607872290476563,0.0028953752249784802
1900,1,0.0,0.08873772899435727,0.08170364072041432,0.00440596738038185
1900,200,0.0,0.08845797280593325,0.09177997527812114,0.006566749072929543
1900,400,0.0,0.07914058273436896,0.0941340134477162,0.006878429554061365
1900,600,0.0,0.06389578163771713,0.09444789081885856,0.009150124069478908
1900,800,0.0,0.04025702562514516,0.07749477432840443,0.012077107687543547
1900,1000,0.0,0.017082785808147174,0.04506454355723893,0.01592332070804669
1900,1200,0.0,0.00468702751738736,0.015195040822497731,0.014741457514363471
1900,1400,0.0,0.0012381026077536177,0.0019345353246150274,0.010214346513967345
1900,1545,0.0,0.0001514921981517952,0.0007574609907589759,0.0030298439630359036
2000,1,0.0,0.09618435965243673,0.08560634680770683,0.005137891953154515
2000,200,0.0,0.09800060587700697,0.08898818539836413,0.005680096940321115
2000,400,0.0,0.09360882766792565,0.09686736280826483,0.007035473598459602
2000,600,0.0,0.07573812580231065,0.09892018424828211,0.007928717058068413
2000,800,0.0,0.05324459234608985,0.08856451368930571,0.010588413250642867
2000,1000,0.0,0.029732781332329695,0.06789612344749718,0.013248024087316523
2000,1200,0.0,0.009382566585956417,0.0325363196125908,0.017554479418886198
